ACCESSION_NUMBER,ID,ISSUEJURISDICTIONSECUROFFERING
0001665160-25-001258,1,AL
0001665160-25-001258,52,WY
0001665160-25-001258,5,CA
0001665160-25-001258,7,CT
0001665160-25-001258,9,DC
0001665160-25-001258,11,GA
0001665160-25-001258,13,ID
0001665160-25-001258,15,IN
0001665160-25-001258,17,KS
0001665160-25-001258,19,LA
0001665160-25-001258,21,MD
0001665160-25-001258,23,MI
0001665160-25-001258,25,MS
0001665160-25-001258,27,MT
0001665160-25-001258,29,NV
0001665160-25-001258,31,NJ
0001665160-25-001258,33,NY
0001665160-25-001258,35,ND
0001665160-25-001258,37,OK
0001665160-25-001258,39,PA
0001665160-25-001258,41,RI
0001665160-25-001258,43,SD
0001665160-25-001258,45,TX
0001665160-25-001258,47,VT
0001665160-25-001258,49,WA
0001665160-25-001258,51,WI
0001665160-25-001258,2,AK
0001665160-25-001258,4,AR
0001665160-25-001258,6,CO
0001665160-25-001258,8,DE
0001665160-25-001258,10,FL
0001665160-25-001258,12,HI
0001665160-25-001258,14,IL
0001665160-25-001258,16,IA
0001665160-25-001258,18,KY
0001665160-25-001258,20,ME
0001665160-25-001258,22,MA
0001665160-25-001258,24,MN
0001665160-25-001258,26,MO
0001665160-25-001258,28,NE
0001665160-25-001258,30,NH
0001665160-25-001258,32,NM
0001665160-25-001258,34,NC
0001665160-25-001258,36,OH
0001665160-25-001258,38,OR
0001665160-25-001258,40,PR
0001665160-25-001258,42,SC
0001665160-25-001258,44,TN
0001665160-25-001258,46,UT
0001665160-25-001258,48,VA
0001665160-25-001258,50,WV
0001665160-25-001258,3,AZ
0001669191-25-000401,2,AK
0001669191-25-000401,55,PR
0001669191-25-000401,6,CO
0001669191-25-000401,8,DE
0001669191-25-000401,10,FL
0001669191-25-000401,12,HI
0001669191-25-000401,14,IL
0001669191-25-000401,16,IA
0001669191-25-000401,18,KY
0001669191-25-000401,20,ME
0001669191-25-000401,22,MA
0001669191-25-000401,24,MN
0001669191-25-000401,26,MO
0001669191-25-000401,28,NE
0001669191-25-000401,30,NH
0001669191-25-000401,32,NM
0001669191-25-000401,34,NC
0001669191-25-000401,36,OH
0001669191-25-000401,38,OR
0001669191-25-000401,40,RI
0001669191-25-000401,42,SD
0001669191-25-000401,44,TX
0001669191-25-000401,46,VT
0001669191-25-000401,48,WA
0001669191-25-000401,50,WI
0001669191-25-000401,52,B5
0001669191-25-000401,54,1V
0001669191-25-000401,56,VI
0001669191-25-000401,1,AL
0001669191-25-000401,3,AZ
0001669191-25-000401,5,CA
0001669191-25-000401,7,CT
0001669191-25-000401,9,DC
0001669191-25-000401,11,GA
0001669191-25-000401,13,ID
0001669191-25-000401,15,IN
0001669191-25-000401,17,KS
0001669191-25-000401,19,LA
0001669191-25-000401,21,MD
0001669191-25-000401,23,MI
0001669191-25-000401,25,MS
0001669191-25-000401,27,MT
0001669191-25-000401,29,NV
0001669191-25-000401,31,NJ
0001669191-25-000401,33,NY
0001669191-25-000401,35,ND
0001669191-25-000401,37,OK
0001669191-25-000401,39,PA
0001669191-25-000401,41,SC
0001669191-25-000401,43,TN
0001669191-25-000401,45,UT
0001669191-25-000401,47,VA
0001669191-25-000401,49,WV
0001669191-25-000401,51,WY
0001669191-25-000401,53,GU
0001669191-25-000401,4,AR
0001669191-25-000399,22,MA
0001669191-25-000399,7,CT
0001669191-25-000399,26,MO
0001669191-25-000399,28,NE
0001669191-25-000399,30,NH
0001669191-25-000399,32,NM
0001669191-25-000399,34,NC
0001669191-25-000399,36,OH
0001669191-25-000399,38,OR
0001669191-25-000399,40,RI
0001669191-25-000399,42,SD
0001669191-25-000399,44,TX
0001669191-25-000399,46,VT
0001669191-25-000399,48,WA
0001669191-25-000399,50,WI
0001669191-25-000399,52,B5
0001669191-25-000399,54,1V
0001669191-25-000399,56,VI
0001669191-25-000399,2,AK
0001669191-25-000399,4,AR
0001669191-25-000399,6,CO
0001669191-25-000399,8,DE
0001669191-25-000399,10,FL
0001669191-25-000399,12,HI
0001669191-25-000399,14,IL
0001669191-25-000399,16,IA
0001669191-25-000399,18,KY
0001669191-25-000399,20,ME
0001669191-25-000399,9,DC
0001669191-25-000399,11,GA
0001669191-25-000399,13,ID
0001669191-25-000399,15,IN
0001669191-25-000399,17,KS
0001669191-25-000399,19,LA
0001669191-25-000399,21,MD
0001669191-25-000399,23,MI
0001669191-25-000399,25,MS
0001669191-25-000399,27,MT
0001669191-25-000399,29,NV
0001669191-25-000399,31,NJ
0001669191-25-000399,33,NY
0001669191-25-000399,35,ND
0001669191-25-000399,37,OK
0001669191-25-000399,39,PA
0001669191-25-000399,41,SC
0001669191-25-000399,43,TN
0001669191-25-000399,45,UT
0001669191-25-000399,47,VA
0001669191-25-000399,49,WV
0001669191-25-000399,51,WY
0001669191-25-000399,53,GU
0001669191-25-000399,55,PR
0001669191-25-000399,1,AL
0001669191-25-000399,3,AZ
0001669191-25-000399,5,CA
0001669191-25-000399,24,MN
0001665160-25-001256,1,AL
0001665160-25-001256,3,AZ
0001665160-25-001256,5,CA
0001665160-25-001256,7,CT
0001665160-25-001256,9,DE
0001665160-25-001256,11,GA
0001665160-25-001256,13,ID
0001665160-25-001256,15,IN
0001665160-25-001256,17,KS
0001665160-25-001256,19,LA
0001665160-25-001256,21,MD
0001665160-25-001256,23,MI
0001665160-25-001256,25,MS
0001665160-25-001256,27,MT
0001665160-25-001256,29,NV
0001665160-25-001256,31,NJ
0001665160-25-001256,33,NY
0001665160-25-001256,35,ND
0001665160-25-001256,37,OK
0001665160-25-001256,39,PA
0001665160-25-001256,41,RI
0001665160-25-001256,43,SD
0001665160-25-001256,45,TX
0001665160-25-001256,47,VT
0001665160-25-001256,49,WA
0001665160-25-001256,51,WI
0001665160-25-001256,2,AK
0001665160-25-001256,4,AR
0001665160-25-001256,6,CO
0001665160-25-001256,8,DC
0001665160-25-001256,10,FL
0001665160-25-001256,12,HI
0001665160-25-001256,14,IL
0001665160-25-001256,16,IA
0001665160-25-001256,18,KY
0001665160-25-001256,20,ME
0001665160-25-001256,22,MA
0001665160-25-001256,24,MN
0001665160-25-001256,26,MO
0001665160-25-001256,28,NE
0001665160-25-001256,30,NH
0001665160-25-001256,32,NM
0001665160-25-001256,34,NC
0001665160-25-001256,36,OH
0001665160-25-001256,38,OR
0001665160-25-001256,40,PR
0001665160-25-001256,42,SC
0001665160-25-001256,44,TN
0001665160-25-001256,46,UT
0001665160-25-001256,48,VA
0001665160-25-001256,50,WV
0001665160-25-001256,52,WY
0001670254-25-000671,32,NM
0001670254-25-000671,27,MT
0001670254-25-000671,36,OH
0001670254-25-000671,38,OR
0001670254-25-000671,40,RI
0001670254-25-000671,42,SD
0001670254-25-000671,44,TX
0001670254-25-000671,46,VT
0001670254-25-000671,48,WA
0001670254-25-000671,50,WI
0001670254-25-000671,52,B5
0001670254-25-000671,54,PR
0001670254-25-000671,56,1V
0001670254-25-000671,2,AK
